0,INA219,9.1,38.70,0.3531,2021-07-29_14-40
1,INA219,9.1,38.70,0.3531
2,INA219,9.1,38.70,0.3531
3,INA219,9.1,38.80,0.3531
4,INA219,9.1,38.80,0.3531
5,INA219,9.1,38.80,0.3541
6,INA219,9.1,38.70,0.3531
7,INA219,9.1,38.80,0.3541
8,INA219,9.1,38.70,0.3531
9,INA219,9.1,38.80,0.3541
10,INA219,9.1,38.70,0.3541
11,INA219,9.1,38.70,0.3531
12,INA219,9.1,38.70,0.3531
13,INA219,9.1,38.60,0.3523
14,INA219,9.1,38.80,0.3531
15,INA219,9.1,38.70,0.3531
16,INA219,9.1,38.70,0.3531
17,INA219,9.1,38.80,0.3541
18,INA219,9.1,38.80,0.3541
19,INA219,9.1,38.60,0.3523
20,INA219,9.1,38.70,0.3531
21,INA219,9.1,38.70,0.3531
22,INA219,9.1,38.70,0.3531
23,INA219,9.1,38.80,0.3541
24,INA219,9.1,38.70,0.3531
25,INA219,9.1,38.80,0.3541
26,INA219,9.1,38.70,0.3531
27,INA219,9.1,38.80,0.3531
28,INA219,9.1,38.70,0.3531
29,INA219,9.1,38.80,0.3541
30,INA219,9.1,38.80,0.3541
31,INA219,9.1,38.80,0.3541
32,INA219,9.1,38.80,0.3541
33,INA219,9.1,38.80,0.3531
34,INA219,9.1,38.70,0.3531
35,INA219,9.1,38.80,0.3541
36,INA219,9.1,38.90,0.3541
37,INA219,9.1,38.80,0.3541
38,INA219,9.1,38.70,0.3531
39,INA219,9.1,38.70,0.3531
40,INA219,9.1,38.70,0.3531
41,INA219,9.1,38.80,0.3541
42,INA219,9.1,38.80,0.3541
43,INA219,9.1,38.80,0.3541
44,INA219,9.1,38.80,0.3541
45,INA219,9.1,38.80,0.3541
46,INA219,9.1,38.80,0.3541
47,INA219,9.1,38.70,0.3531
48,INA219,9.1,38.80,0.3541
49,INA219,9.1,38.80,0.3541
50,INA219,9.1,38.70,0.3531
51,INA219,9.1,38.80,0.3541
52,INA219,9.1,38.80,0.3541
53,INA219,9.1,38.80,0.3541
54,INA219,9.1,38.80,0.3541
55,INA219,9.1,38.80,0.3541
56,INA219,9.1,38.80,0.3541
57,INA219,9.1,38.80,0.3541
58,INA219,9.1,38.80,0.3541
59,INA219,9.1,38.80,0.3541
60,INA219,9.1,38.70,0.3541
